name	logFC	AveExpr	t	P.Value	adj.P.Val	B
NID1	NID1	-1.59076765756219	10.150919562072	-7.68070724878804	4.76646751435154e-09	2.2865425590275e-07	10.6417889063317
TCOF1	TCOF1	1.34914757353753	9.25146488825323	7.62488419345589	6.76382342496033e-09	3.13446012105218e-07	10.3226009616209
DCN	DCN	-1.87550020751238	11.9433312386776	-7.55424692163491	6.90738680636871e-09	3.13446012105218e-07	10.2753922455493
SF3B1	SF3B1	0.993484348174894	9.63703683207719	7.51779685088673	7.68930418701646e-09	3.33679693667711e-07	10.1694807966821
GOLGA3	GOLGA3	1.9053428554352	8.6935897032815	7.5150933833936	7.7507492870999e-09	3.33679693667711e-07	10.1616201283999
P4HA1	P4HA1	2.27174295967703	9.55913446443321	7.58130415717583	9.27599666363842e-09	3.79863375567047e-07	10.0266340604302
RPS24	RPS24	0.803130392447491	11.771774505616	7.45784676034301	9.17518095297534e-09	3.79863375567047e-07	9.99499803461664
EIF2A	EIF2A	1.4055106140638	9.16757633175372	7.48673971955475	1.2131036398076e-08	4.84952621723085e-07	9.76155923682694
EIF5B	EIF5B	1.51179669684891	9.30609338624114	7.33780234826047	1.30834306528728e-08	5.08672594819044e-07	9.64456306763239
SRP72	SRP72	0.791509453102851	9.60027004789116	7.32278244819021	1.36787494305868e-08	5.08672594819044e-07	9.60062073624414
BCAM	BCAM	-2.08931704170375	10.4817834936205	-7.31519674096697	1.39897455864743e-08	5.08672594819044e-07	9.57841997188972
SNRPA1	SNRPA1	0.933334621905491	9.96732688642934	7.31081465498836	1.41726482130834e-08	5.08672594819044e-07	9.56559268265607
SHMT2	SHMT2	1.52974025439801	9.76271043990025	7.30923440811574	1.42391971152442e-08	5.08672594819044e-07	9.56096653201615
PARP1	PARP1	0.957116305724085	10.8936952639287	7.30011460494565	1.46294785608467e-08	5.11726968826284e-07	9.53426394034108
CPSF6	CPSF6	0.754554194608867	9.68728312234294	7.2466396001844	1.71457333233027e-08	5.87503801016842e-07	9.37753750341554
RBM17	RBM17	1.09777801527394	8.48689356466513	7.39798411768846	1.88244955566627e-08	5.96345812068615e-07	9.37337438546107
RPL10;RPL10L	RPL10;RPL10L	0.720095169141519	11.3677255302665	7.23841058371164	1.75700619516834e-08	5.90002680337529e-07	9.35339668472755
PLIN3	PLIN3	1.18179083506175	9.94423197064993	7.21964297965087	1.85779512055107e-08	5.96345812068615e-07	9.29831704611766
TNS1	TNS1	-1.81617268324481	10.1264087055878	-7.21915317225608	1.86050239147563e-08	5.96345812068615e-07	9.29687912818783
SEC61B	SEC61B	1.03229963010619	10.9625017473015	7.17367969108947	2.13002626765557e-08	6.62280389517354e-07	9.16329167997157
SLC9A3R2	SLC9A3R2	-1.52242241095664	9.25615681278394	-7.20472960775457	2.290104887045e-08	6.91328092967934e-07	9.10649095930056
AOC3;AOC2	AOC3;AOC2	-2.27912787052205	11.7277063868411	-7.1470566684953	2.30579947624802e-08	6.91328092967934e-07	9.08499788260553
LIMCH1	LIMCH1	-1.78894717650874	9.41004497611144	-7.18205516314458	2.44713372353934e-08	7.20831144179395e-07	9.0409768057911
ARFIP1	ARFIP1	1.22406293716819	9.44157268553661	7.23865840015757	2.94415470096716e-08	8.37836566597263e-07	8.91707317743731
SERBP1	SERBP1	1.19558652796015	9.70073810099859	7.08626368097228	2.76413692249027e-08	8.00169981527788e-07	8.9059904452604
HNRNPA1;HNRNPA1L2	HNRNPA1;HNRNPA1L2	0.780440138225391	12.4258497290256	7.05892427445947	2.99926610077e-08	8.39294630532139e-07	8.82538825483733
NOP56	NOP56	1.00088919353417	10.532159625338	7.05328461819596	3.05022834489939e-08	8.39562850997718e-07	8.80875378874303
LSM2	LSM2	1.00309846557921	9.99979391138006	7.00090214158184	3.56741850003047e-08	9.5687913093272e-07	8.65412672451243
LAMC1	LAMC1	-1.25672037275483	10.546088324634	-6.9987530485546	3.59043390403581e-08	9.5687913093272e-07	8.64777819384516
COL6A2	COL6A2	-1.31402352020594	12.6673585198916	-6.9549923778338	4.09310506952726e-08	1.07380053308379e-06	8.51842873634546
DDX21	DDX21	1.54762790293486	9.3354155779769	6.9357245714199	4.33640944052135e-08	1.11961695519631e-06	8.46142960030724
PRKDC	PRKDC	0.714324131046153	10.458470428486	6.93078394583497	4.40111489237382e-08	1.11961695519631e-06	8.44680943276658
ALDOA	ALDOA	0.812638027792255	13.0185427492779	6.92327202757058	4.50136736360277e-08	1.12802922440135e-06	8.42457685112883
EEF1G	EEF1G	0.731371436031072	11.7823368199025	6.90986195157243	4.68609931557134e-08	1.15705305159475e-06	8.38487736334997
ADAR	ADAR	1.07029894596043	9.86004767054041	6.90387895568457	4.77096842676602e-08	1.16093565051306e-06	8.36716086295158
KANK2	KANK2	-1.37854471987356	9.01627544041549	-6.92224145415935	5.24996293319575e-08	1.25924110926224e-06	8.28703601819275
SFXN1	SFXN1	1.45993288206921	9.22020238826702	7.01368096780869	5.5613943620085e-08	1.29095956714525e-06	8.26139198891673
DARS1	DARS1	0.535995722964808	10.6237192172642	6.86531529111113	5.35648017556874e-08	1.26669439644787e-06	8.25290547496331
EIF4A3	EIF4A3	0.540072442498843	10.6343680343267	6.84975039478561	5.61286768324022e-08	1.29095956714525e-06	8.20675980863283
PGM5	PGM5	-2.23317432450748	9.58785016976274	-6.83994558345213	5.7806933325921e-08	1.31159244667867e-06	8.17768238173337
ADRM1	ADRM1	0.638648462827145	9.1894471363164	6.9269899884195	6.05244618992459e-08	1.31974768219265e-06	8.16183716317168
TIA1	TIA1	1.12191506729923	9.15095074326717	6.83181684418361	5.92366167140345e-08	1.31974768219265e-06	8.1535704246456
PSMC6	PSMC6	0.791107315176806	10.6481991335305	6.82512539663256	6.04402339824702e-08	1.31974768219265e-06	8.13371837609232
FBL	FBL	0.9094497964899	10.5801845946034	6.81439137955344	6.24227393421783e-08	1.34368947891689e-06	8.10186640800199
LAMA5	LAMA5	-2.13888641619887	9.73846689706084	-6.79899010387016	6.53823798417848e-08	1.38958247790325e-06	8.05615099828997
RPS9	RPS9	0.816006927078572	11.3522363794502	6.7733023289467	7.06370456335581e-08	1.4824949952343e-06	7.9798663898054
SON	SON	1.17911687813995	9.05347229941163	6.79709884502668	7.59864782196372e-08	1.57507773988606e-06	7.93600460891377
HNRNPH1	HNRNPH1	0.85974248726121	11.8837601842743	6.74080091673922	7.79003637885554e-08	1.59505744879249e-06	7.88328434845092
FERMT2	FERMT2	-1.57315248790664	10.2295696524552	-6.69984147672354	8.81364266420824e-08	1.78290434135008e-06	7.76147064697659
TRA2B	TRA2B	0.903859948123388	10.7897282375561	6.7744501541476	9.42731559618691e-08	1.88434081976164e-06	7.7381891602261
TIMM50	TIMM50	0.981502319459725	8.7922941287337	6.80358491952189	1.01174202582858e-07	1.99848807219551e-06	7.67026597137671
ABCE1	ABCE1	1.1182888569677	9.64374358486158	6.64338150097721	1.0450697971369e-07	2.04031649929402e-06	7.59338670194131
MYH10	MYH10	-1.36432864917001	12.0090002266088	-6.61837103640057	1.12707078272002e-07	2.15183092012832e-06	7.51886829015094
H1-5	H1-5	1.4132417262187	12.6451986627813	6.6181508255255	1.12782085152646e-07	2.15183092012832e-06	7.51821201208336
RNPS1	RNPS1	1.0531217626361	9.88354962695088	6.64950986997612	1.17710144802712e-07	2.19594814581949e-06	7.50443235639364
CCAR1	CCAR1	1.17099812375018	8.86634069912314	6.69249642193336	1.19712941409129e-07	2.20876954533987e-06	7.50209185180555
RPS4X	RPS4X	0.612846524495499	11.110380207735	6.6085171667311	1.16113132202308e-07	2.19049380862555e-06	7.48949879976172
ACTL6A;ACTL6B	ACTL6A;ACTL6B	0.936118924400441	9.4159954731504	6.63476324327751	1.22982947242692e-07	2.22030503677935e-06	7.44674183833296
GNAQ	GNAQ	-1.15431993684292	10.4338627672365	-6.59133012106477	1.22303990272738e-07	2.22030503677935e-06	7.43825948293751
XRN2	XRN2	1.84799644738088	8.64869836869166	6.67983392476288	1.44198810335499e-07	2.54852423740319e-06	7.37030842009422
SPTBN1	SPTBN1	-1.18156112297947	11.2323320775338	-6.56188794909534	1.33691851198325e-07	2.38796402299988e-06	7.35044584717317
GGCT	GGCT	1.18100854061399	10.2340701770751	6.64937671032453	1.57370959443329e-07	2.66894788793282e-06	7.2644653556983
FABP5;NA	FABP5;NA	-1.41623111900997	10.6674826386598	-6.60374846359274	1.55152488195706e-07	2.65817375184275e-06	7.25276124949774
ARRB1	ARRB1	-1.148077436749	9.33731078496039	-6.56644677023098	1.50694542507237e-07	2.60841378216134e-06	7.24607116034455
ILF2	ILF2	0.671447185959487	10.6510192834318	6.52685044791204	1.48644268057231e-07	2.59972631320929e-06	7.24588239115414
HNRNPM	HNRNPM	0.706124432801346	11.7489560464938	6.45302151650547	1.85897488961964e-07	3.12121883967138e-06	7.02534617506799
RPL23	RPL23	0.925048804507931	11.8502417151215	6.51561156627785	2.00843702151167e-07	3.28779118850184e-06	6.97718019381745
TLN1	TLN1	-0.72850951396231	11.6345154271508	-6.42986969702273	1.99415619370642e-07	3.28779118850184e-06	6.95613436861127
PDIA4	PDIA4	0.999949555858958	11.8984895096358	6.426125421929	2.01692967489988e-07	3.28779118850184e-06	6.94493861852297
RPL10A	RPL10A	0.768383357210061	11.4035024935332	6.42290289331471	2.0367391859406e-07	3.28815874345602e-06	6.93530242976467
ABCF1	ABCF1	0.629419436013269	9.90966207792072	6.40597583937381	2.14405319180834e-07	3.42844315147258e-06	6.88467850356924
MYO1B	MYO1B	-0.888717659713814	10.4315293954216	-6.39952373700664	2.18643974597905e-07	3.46323805047059e-06	6.86537877680722
ERO1A	ERO1A	1.39373829018142	10.410423767052	6.38466242013805	2.28730476728831e-07	3.58914458343651e-06	6.82091824553654
PBXIP1	PBXIP1	1.48710325786917	9.55833424738049	6.37049926146942	2.38778473976433e-07	3.7121209056151e-06	6.77853759770141
ITGA1	ITGA1	-1.69138660696774	9.59765397245745	-6.43345610260202	2.5560424408352e-07	3.901450234693e-06	6.75328366204022
SERPIND1	SERPIND1	-1.29140645367753	9.64529359148674	-6.34986954732902	2.54213873944314e-07	3.901450234693e-06	6.71679202907236
TCEA1;TCEA2	TCEA1;TCEA2	0.820247008361751	9.62627378443493	6.37183839436706	2.69300516216602e-07	4.03710327435424e-06	6.68875082518932
TJP1	TJP1	-0.856932955171771	10.0257872661571	-6.3401976919402	2.61792163543048e-07	3.95990128458359e-06	6.68783782488551
SEC24C	SEC24C	1.08825192528266	9.42394821214816	6.36136093242842	2.77869497828999e-07	4.081383436325e-06	6.64253520826526
TWF1	TWF1	0.799511014311276	9.86311603007183	6.3193050712285	2.78946849432199e-07	4.081383436325e-06	6.62527993248728
TOP1;TOP1MT	TOP1;TOP1MT	1.30947499956994	10.5686650809859	6.31859797186116	2.79546810707192e-07	4.081383436325e-06	6.62316239942097
XRCC6	XRCC6	0.511760384502413	11.4105302570964	6.31226135434208	2.84981557140249e-07	4.12486236584895e-06	6.6041854388412
SSR4	SSR4	0.819704827276894	10.6999069640465	6.30746822944408	2.89162946685989e-07	4.14961185885279e-06	6.58982993805368
PNN	PNN	0.618403277148914	9.89204853693349	6.28430046492592	3.10260047822614e-07	4.41463237537431e-06	6.52043008815626
UGDH	UGDH	1.41672778648102	10.2357266849428	6.2742538953584	3.1988327138127e-07	4.51331103066514e-06	6.49032923326486
OSBP;OSBP2	OSBP;OSBP2	0.917029593454222	9.42510129993354	6.32520425240835	3.51429610300905e-07	4.86455582066584e-06	6.44094951369774
HNRNPL	HNRNPL	0.997135278880791	10.8922969770682	6.28231895558776	3.52009031254784e-07	4.86455582066584e-06	6.42491581454641
VAT1	VAT1	-0.868379577728009	11.7015099561291	-6.24142587061691	3.53469809482568e-07	4.86455582066584e-06	6.39194792255248
SFPQ	SFPQ	0.614531660295899	11.736750902449	6.22777900568117	3.68454549679352e-07	4.99197586502219e-06	6.35103958515863
SPTAN1	SPTAN1	-1.07619342428935	10.9484118561965	-6.22758259562473	3.68674810758041e-07	4.99197586502219e-06	6.35045077596764
DNAJB11	DNAJB11	0.89577664993544	10.376286524283	6.2178966725827	3.79702669847323e-07	5.10016626138924e-06	6.32141227170808
HSPA5	HSPA5	0.657376560589483	13.3196509273487	6.20891863835409	3.90220342750087e-07	5.19984091648727e-06	6.29449344732725
MAPRE1	MAPRE1	0.768370542802565	10.0893911978943	6.20265876165004	3.97726432488339e-07	5.25813133974741e-06	6.27572303190254
COL4A2	COL4A2	-1.08285875080822	11.5145014905121	-6.19771508252137	4.03756667307849e-07	5.29615190945218e-06	6.26089845084498
PABPC1;PABPC3;NA;PABPC1L2A	PABPC1;PABPC3;NA;PABPC1L2A	0.649229406482295	10.9311307522675	6.18992801453993	4.13442050827633e-07	5.35578988653127e-06	6.23754597118238
RPS8	RPS8	0.652656778143974	12.176849739734	6.18894359067561	4.14682957265673e-07	5.35578988653127e-06	6.23459367809581
RBM25	RBM25	1.12433006552992	8.73342574597499	6.25269894176164	4.35137513014504e-07	5.49320213798009e-06	6.22958809091291
HSPD1	HSPD1	1.05875755012211	11.2585736651425	6.1857737748777	4.18704112977274e-07	5.36644431823545e-06	6.22508719375707
SRPRB	SRPRB	0.893525404790109	10.3338249803009	6.21624420146084	4.2906910088216e-07	5.45762894228141e-06	6.21415520341021
LAMA4	LAMA4	-1.40000851305978	9.56948037440569	-6.16211311375502	4.49983143459385e-07	5.63822162588289e-06	6.15411850419108
CDC5L	CDC5L	0.997694812348472	9.90688437305719	6.18180303499943	4.75748974370504e-07	5.83052940122684e-06	6.12795288044413
LMAN1	LMAN1	0.972793615400871	10.8934831865243	6.14612362413205	4.72439589428681e-07	5.83052940122684e-06	6.10615055616629
HSDL2	HSDL2	-0.834548510321254	10.0754984861561	-6.14548845168861	4.73354536661298e-07	5.83052940122684e-06	6.10424492406908
RAP1B;NA	RAP1B;NA	-0.715498100295934	11.680641505118	-6.13290477731781	4.91852260255246e-07	5.98420249977215e-06	6.0664895566779
LUC7L3	LUC7L3	0.854133778401801	9.64369699162446	6.12140004631177	5.09398438791347e-07	6.15309337216311e-06	6.03196803186478
COL18A1	COL18A1	-1.03476733454767	10.9504632583599	-6.11880972859771	5.13434895030221e-07	6.1575513482553e-06	6.02419499807834
RPL28	RPL28	1.2926618090064	10.8874536905693	6.10144750099801	5.41331821277748e-07	6.44607182925772e-06	5.97209043446145
PRELP	PRELP	-1.50710533306704	11.3345004613317	-6.13045870800696	5.54989689471177e-07	6.51627754281194e-06	5.9604023744115
SRSF3	SRSF3	0.876765676175987	11.7806128600149	6.09689817066996	5.48889813463318e-07	6.4900422310205e-06	5.95843665842943
CORO1C	CORO1C	-0.912402786555605	10.6198763049831	-6.08432035049885	5.70341702108938e-07	6.65002581833963e-06	5.92068492586634
NAP1L1	NAP1L1	0.799949720498722	10.3997839367517	6.06419434085673	6.06431663801766e-07	7.02206043809079e-06	5.86027102927973
MDH2	MDH2	0.612009646293831	12.1812215741772	6.04536464069008	6.42269788755867e-07	7.38610257069247e-06	5.80374149360134
BAZ1B	BAZ1B	1.60702124076003	8.29094174485885	6.10324913147185	6.7652838571803e-07	7.69555940143531e-06	5.79483554649473
RAB23	RAB23	-1.22838745600346	9.20710463729324	-6.05760869597065	6.90717993254798e-07	7.69555940143531e-06	5.76093504694001
ALDH18A1	ALDH18A1	2.1454942010822	9.20972585022323	6.0970074503062	6.89130342765684e-07	7.69555940143531e-06	5.76084109242393
MCAM	MCAM	-1.48842358780144	10.0362207701416	-6.02187758207435	6.89965601301499e-07	7.69555940143531e-06	5.73322140973174
RPS23	RPS23	0.738703123554357	11.675797766332	6.02086679502234	6.92096170111216e-07	7.69555940143531e-06	5.73018631712374
EEF2	EEF2	0.576624452186822	11.9623249168094	6.01732844413418	6.99606542442043e-07	7.72789068921178e-06	5.71956158141853
VCL	VCL	-0.927456420274961	11.7252239425266	-5.97080796242701	8.0629865999726e-07	8.84820555644052e-06	5.57985693536504
RBM39;RBM23	RBM39;RBM23	0.627108095730984	10.1061167460952	5.96665076930835	8.16593024864814e-07	8.90298499187028e-06	5.56737128222135
DDX42	DDX42	0.974735268107892	8.98450858466281	5.9497286950931	8.59874871231199e-07	9.31438650836892e-06	5.51654595200254
RPL7A	RPL7A	0.616314496157676	11.701445404585	5.94044954467689	8.84577164507645e-07	9.52054525133548e-06	5.48867495512366
PSMC1	PSMC1	0.665772853035003	10.2292818489225	5.90454502941937	9.87049458614056e-07	1.05557709618662e-05	5.38082549802761
RSU1	RSU1	-0.971355909224204	11.1697503037749	-5.90027707360198	9.99996071876481e-07	1.06265405359532e-05	5.36800495273031
LARP1	LARP1	1.04975710177518	9.2749786750775	5.91534385738718	1.05949384413912e-06	1.10574853201174e-05	5.34003954644418
RPL38	RPL38	0.848466187957436	10.4494696165559	5.88373463942169	1.05180527543409e-06	1.10574853201174e-05	5.31831224637002
RPL12	RPL12	0.673821067062624	11.5528847898324	5.88109835959117	1.0603068115181e-06	1.10574853201174e-05	5.31039288960155
NSUN2	NSUN2	1.39583223530552	9.27018001206526	5.90247230943467	1.10134255830246e-06	1.13445040207965e-05	5.30237255451668
VARS1	VARS1	0.769216066830674	10.4945837390496	5.86935172972321	1.09903240888517e-06	1.13445040207965e-05	5.27510590047541
A1BG	A1BG	-1.21680263044797	10.2839177913264	-5.89173706036372	1.13751110313485e-06	1.15750372252328e-05	5.26951260406455
KCTD12;KCTD16;KCTD8	KCTD12;KCTD16;KCTD8	-0.93407856094732	10.9441897487746	-5.86478375228516	1.11447176058658e-06	1.14097444269809e-05	5.26138356885411
RPS10;NA	RPS10;NA	0.568316707545184	11.4659277942135	5.85134184273797	1.16117633158473e-06	1.17446690405467e-05	5.22100353473586
CTTN	CTTN	1.13084994078741	10.2661900021673	5.82654771954741	1.25252971943279e-06	1.25798168710226e-05	5.14652097176691
RRAS	RRAS	-1.23628051625718	10.8387252930185	-5.82493091416594	1.25873093170446e-06	1.25798168710226e-05	5.1416640468322
USP39	USP39	0.848383085491802	9.56609543807888	5.81916120446279	1.28111222633217e-06	1.27277362604243e-05	5.12433173619691
MYLK	MYLK	-1.43360875116673	10.1743137953364	-5.80026669335686	1.35723361618313e-06	1.34046778915969e-05	5.0675729761407
CYB5R3	CYB5R3	-0.54607914567648	12.0387296936971	-5.79297629396952	1.38780149844036e-06	1.36264252390723e-05	5.04567312779684
KNG1	KNG1	-1.02207353283354	10.7223180278407	-5.78154820154689	1.43711146847051e-06	1.40285474160581e-05	5.01134448593963
MARS1	MARS1	0.711047455301026	9.88971505217333	5.77654037787328	1.45926838777365e-06	1.41624949310518e-05	4.99630181482948
STX12	STX12	-0.675523726644483	10.0307721259958	-5.76605940794958	1.5067541939278e-06	1.45393120207171e-05	4.9648192638561
DRG1	DRG1	0.702237539059997	9.31811238132394	5.84073239505225	1.64130515236165e-06	1.53097297267512e-05	4.95607566681245
COPZ1	COPZ1	0.977485118038384	9.64821381674931	5.76082854036413	1.53102909697629e-06	1.46741210210075e-05	4.94910717858818
EIF3G	EIF3G	0.613542591449662	9.88768793136346	5.75929824839874	1.53820446676434e-06	1.46741210210075e-05	4.94451064387492
CAPRIN1	CAPRIN1	0.830028994927719	10.0142639960964	5.75212291799587	1.57230034861243e-06	1.49146456797755e-05	4.92295837933147
RPL21	RPL21	0.831583915870366	11.4492847858598	5.75008184636377	1.58213663297371e-06	1.49236371166453e-05	4.91682777233568
RPL5	RPL5	0.561919511181461	11.5009876673683	5.74806841598363	1.59190005474676e-06	1.49318446475967e-05	4.91078022604024
HPX	HPX	-1.30907882266825	11.9083041315973	-5.72603175955904	1.70278270523767e-06	1.57954263099119e-05	4.84459346229885
PRDX4	PRDX4	1.31388897304848	10.3381846737085	5.7195437921507	1.73687785841366e-06	1.60231754081129e-05	4.82510795303158
RANBP2	RANBP2	1.34814504226024	8.71913820215619	5.77443741586781	1.79255644909808e-06	1.635707759802e-05	4.81911295180758
ESD	ESD	-0.639634013515035	10.7921494913877	-5.71714647024947	1.74964823958268e-06	1.60527835751876e-05	4.81790812944515
RPL4	RPL4	0.689009862456565	11.9055013609624	5.69599090592998	1.86649439475913e-06	1.69396977773004e-05	4.754375282329
TBL2	TBL2	0.852370355599509	9.88947471443828	5.68253167952823	1.94486346128971e-06	1.75560524274485e-05	4.71395877779537
RBMX;RBMXL2;RBMXL3	RBMX;RBMXL2;RBMXL3	0.607328974541446	11.1628550857374	5.70076796593714	2.02198929045529e-06	1.80580852057151e-05	4.70520674564708
SEC31A	SEC31A	0.904066999755621	9.88801608717757	5.67140504449013	2.01212993417904e-06	1.80580852057151e-05	4.68054889616779
HYOU1	HYOU1	0.959378407824197	10.6841855697702	5.66416153875765	2.05716641745528e-06	1.82750392323143e-05	4.65879996503944
PSPC1	PSPC1	0.723919746944146	9.73060089020469	5.69044299073054	2.08589967758042e-06	1.84327660981975e-05	4.65719959548202
SRRM2	SRRM2	1.54893890076141	8.97608732042451	5.73135968252069	2.25969167299622e-06	1.98639911987469e-05	4.64224004442992
NSF	NSF	0.544616996468951	10.6627747522896	5.63087197160579	2.27745974713769e-06	1.99159110179384e-05	4.5588589576713
MYBBP1A	MYBBP1A	1.32977423767531	8.69398087218112	5.67192773072426	2.43051943217554e-06	2.09273955211422e-05	4.53653497937314
ECHDC1	ECHDC1	-1.3281086672345	9.99543349620895	-5.61865442419765	2.36409812736997e-06	2.05664287868092e-05	4.52218534542947
RBM14	RBM14	1.00708675654323	9.43762956903814	5.61662045974837	2.37883820972784e-06	2.05879863615106e-05	4.51608027443748
LAMB2	LAMB2	-2.18258082186524	9.97859317641534	-5.61788251571239	2.59586152227627e-06	2.19711102313697e-05	4.44205008040104
RPS3A	RPS3A	0.610111063952576	10.8172381814379	5.5896924685713	2.58286796187205e-06	2.19711102313697e-05	4.43526320924055
RPL9	RPL9	0.536484431746757	11.0962312820275	5.58735925725344	2.60134914223701e-06	2.19711102313697e-05	4.42826153039457
RPS3	RPS3	0.538511015911357	11.9114782470352	5.5868695162409	2.60524509205891e-06	2.19711102313697e-05	4.42679189549169
MLEC	MLEC	0.767931699079254	10.4616410198482	5.58537550535013	2.61716619789991e-06	2.19711102313697e-05	4.42230864380736
EEF1D	EEF1D	0.686758983244108	10.9260191801661	5.57096272415677	2.73500640381152e-06	2.28461480198982e-05	4.37906150054497
DDOST	DDOST	0.726545124238534	10.9390085447542	5.56835442737749	2.75689183697948e-06	2.29149573974681e-05	4.37123560514591
DPYSL2	DPYSL2	-0.995959308554889	12.0119277382742	-5.56294688455616	2.80282396554485e-06	2.31057957962593e-05	4.35501148334939
RPLP0;NA	RPLP0;NA	0.482064583692271	12.137582581039	5.56241594493586	2.8073748317075e-06	2.31057957962593e-05	4.35341856127681
HNRNPAB	HNRNPAB	0.747035661434332	10.6821247514828	5.55659200700726	2.85778108503785e-06	2.34059241062369e-05	4.33594613249326
RPL30	RPL30	0.788639827636411	10.7589603536598	5.57488249486691	2.95514415633853e-06	2.39357828351674e-05	4.33211909431332
MAGOHB	MAGOHB	0.631741874666078	10.3502697879505	5.55158746751986	2.90181719009336e-06	2.36512187483823e-05	4.32093275350202
EPRS1	EPRS1	0.617071800293381	10.6199236873419	5.54451113742416	2.96524290036618e-06	2.39357828351674e-05	4.29970533999927
